Index,Variant,Area,Notes,Area_code,Period,g15_19,g20_24,g25_29,g30_34,g35_39,g40_44,g45_49
96,Estimates,AFRICA,,903,2005-2010,26585,49089,44655,31130,17706,7054,2240
97,Estimates,Eastern Africa,,910,1950-1955,2361,4647,4047,3066,2046,971,365
98,Estimates,Eastern Africa,,910,1955-1960,2614,5134,4553,3453,2280,1065,396
99,Estimates,Eastern Africa,,910,1960-1965,3023,5738,5093,3942,2607,1208,443
100,Estimates,Eastern Africa,,910,1965-1970,3549,6598,5669,4381,2963,1378,502
101,Estimates,Eastern Africa,,910,1970-1975,4182,7778,6551,4911,3314,1575,560
102,Estimates,Eastern Africa,,910,1975-1980,4833,9036,7664,5671,3703,1751,627
103,Estimates,Eastern Africa,,910,1980-1985,5464,10219,8734,6550,4233,1962,726
104,Estimates,Eastern Africa,,910,1985-1990,6191,11531,9846,7433,4832,2256,773
105,Estimates,Eastern Africa,,910,1990-1995,7159,12868,10751,7923,5137,2355,816
106,Estimates,Eastern Africa,,910,1995-2000,8292,14828,12076,8538,5358,2411,823
107,Estimates,Eastern Africa,,910,2000-2005,9319,16870,13674,9312,5524,2404,783
108,Estimates,Eastern Africa,,910,2005-2010,9730,18567,15655,10334,5813,2349,737
109,Estimates,Burundi,c,108,1950-1955,28,143,153,125,95,45,9
110,Estimates,Burundi,c,108,1955-1960,30,153,164,133,103,49,10
111,Estimates,Burundi,c,108,1960-1965,33,169,180,147,113,55,11
112,Estimates,Burundi,c,108,1965-1970,40,186,198,161,124,60,12
113,Estimates,Burundi,c,108,1970-1975,48,219,208,168,129,63,12
114,Estimates,Burundi,c,108,1975-1980,54,271,255,180,135,66,13
115,Estimates,Burundi,c,108,1980-1985,57,304,321,226,148,70,14
116,Estimates,Burundi,c,108,1985-1990,62,328,365,292,193,79,15
117,Estimates,Burundi,c,108,1990-1995,71,332,358,304,231,97,16
118,Estimates,Burundi,c,108,1995-2000,85,356,334,277,222,107,18
119,Estimates,Burundi,c,108,2000-2005,81,416,415,297,198,106,23
120,Estimates,Burundi,c,108,2005-2010,86,535,593,366,203,100,21
121,Estimates,Comoros,c,174,1950-1955,3,9,9,8,5,2,1
122,Estimates,Comoros,c,174,1955-1960,4,10,11,10,6,2,1
123,Estimates,Comoros,c,174,1960-1965,4,11,12,10,6,3,1
124,Estimates,Comoros,c,174,1965-1970,5,11,12,11,7,3,1
125,Estimates,Comoros,c,174,1970-1975,6,13,13,12,7,3,1
126,Estimates,Comoros,c,174,1975-1980,7,17,16,13,8,3,1
127,Estimates,Comoros,c,174,1980-1985,8,21,20,16,8,4,1
128,Estimates,Comoros,c,174,1985-1990,8,20,20,17,9,3,1
129,Estimates,Comoros,c,174,1990-1995,8,20,21,18,10,3,1
130,Estimates,Comoros,c,174,1995-2000,9,24,25,21,11,4,1
131,Estimates,Comoros,c,174,2000-2005,10,29,32,23,12,4,1
132,Estimates,Comoros,c,174,2005-2010,9,32,39,26,12,4,1
133,Estimates,Djibouti,c,262,1950-1955,1,2,4,3,2,1,0
134,Estimates,Djibouti,c,262,1955-1960,1,3,4,4,3,1,0
135,Estimates,Djibouti,c,262,1960-1965,1,4,6,6,4,1,0
136,Estimates,Djibouti,c,262,1965-1970,2,6,8,8,5,2,1
137,Estimates,Djibouti,c,262,1970-1975,3,8,12,11,7,2,1
138,Estimates,Djibouti,c,262,1975-1980,5,11,16,16,9,3,1
139,Estimates,Djibouti,c,262,1980-1985,7,15,20,19,11,4,2
140,Estimates,Djibouti,c,262,1985-1990,9,20,27,25,14,5,2
141,Estimates,Djibouti,c,262,1990-1995,11,23,33,32,16,5,3
142,Estimates,Djibouti,c,262,1995-2000,5,21,29,27,17,7,4
143,Estimates,Djibouti,c,262,2000-2005,6,20,27,27,18,8,4
144,Estimates,Djibouti,c,262,2005-2010,5,25,33,28,16,7,3
145,Estimates,Eritrea,c,232,1950-1955,38,65,65,54,35,20,5
146,Estimates,Eritrea,c,232,1955-1960,44,74,74,60,40,23,5
147,Estimates,Eritrea,c,232,1960-1965,50,83,82,67,44,25,6
148,Estimates,Eritrea,c,232,1965-1970,54,96,93,75,49,28,7
149,Estimates,Eritrea,c,232,1970-1975,59,105,108,85,55,32,7
150,Estimates,Eritrea,c,232,1975-1980,69,116,121,101,64,37,8
151,Estimates,Eritrea,c,232,1980-1985,82,139,138,116,78,43,10
152,Estimates,Eritrea,c,232,1985-1990,93,160,160,129,87,51,11
153,Estimates,Eritrea,c,232,1990-1995,110,181,165,127,89,41,13
154,Estimates,Eritrea,c,232,1995-2000,113,187,157,126,92,43,16
155,Estimates,Eritrea,c,232,2000-2005,122,242,198,148,103,48,20
156,Estimates,Eritrea,c,232,2005-2010,115,285,286,189,107,44,18
157,Estimates,Ethiopia,c,231,1950-1955,581,1196,1034,857,592,299,129
158,Estimates,Ethiopia,c,231,1955-1960,629,1290,1109,918,633,319,136
159,Estimates,Ethiopia,c,231,1960-1965,710,1457,1247,1028,709,357,151
160,Estimates,Ethiopia,c,231,1965-1970,785,1643,1409,1157,796,400,170
161,Estimates,Ethiopia,c,231,1970-1975,903,1889,1653,1361,933,468,199
162,Estimates,Ethiopia,c,231,1975-1980,992,2064,1829,1537,1057,518,227
163,Estimates,Ethiopia,c,231,1980-1985,1113,2344,2034,1772,1249,617,238
164,Estimates,Ethiopia,c,231,1985-1990,1309,2725,2352,1997,1391,712,233
165,Estimates,Ethiopia,c,231,1990-1995,1567,3193,2796,2219,1516,737,222
166,Estimates,Ethiopia,c,231,1995-2000,1907,3737,3298,2492,1589,739,201
167,Estimates,Ethiopia,c,231,2000-2005,2001,4054,3491,2624,1599,717,184
168,Estimates,Ethiopia,c,231,2005-2010,2001,4086,3631,2653,1624,688,167
169,Estimates,Kenya,c,404,1950-1955,264,486,383,269,166,80,26
170,Estimates,Kenya,c,404,1955-1960,286,555,470,322,191,89,27
171,Estimates,Kenya,c,404,1960-1965,356,599,535,394,229,103,31
172,Estimates,Kenya,c,404,1965-1970,477,725,561,436,272,120,35
173,Estimates,Kenya,c,404,1970-1975,591,956,668,450,297,140,40
174,Estimates,Kenya,c,404,1975-1980,684,1154,859,523,299,149,45
175,Estimates,Kenya,c,404,1980-1985,783,1324,1029,668,345,149,48
176,Estimates,Kenya,c,404,1985-1990,868,1455,1134,768,424,166,46
177,Estimates,Kenya,c,404,1990-1995,817,1543,1162,770,484,169,86
178,Estimates,Kenya,c,404,1995-2000,911,1754,1359,834,490,173,91
179,Estimates,Kenya,c,404,2000-2005,1034,2064,1610,961,548,195,110
180,Estimates,Kenya,c,404,2005-2010,1064,2286,1868,1119,611,208,119
181,Estimates,Madagascar,c,450,1950-1955,163,299,235,184,102,57,18
182,Estimates,Madagascar,c,450,1955-1960,173,333,274,221,112,51,18
183,Estimates,Madagascar,c,450,1960-1965,189,356,306,258,135,56,16
184,Estimates,Madagascar,c,450,1965-1970,237,387,329,286,160,68,17
185,Estimates,Madagascar,c,450,1970-1975,299,472,362,302,182,81,20
186,Estimates,Madagascar,c,450,1975-1980,341,552,429,312,190,88,23
187,Estimates,Madagascar,c,450,1980-1985,352,554,464,331,184,83,22
188,Estimates,Madagascar,c,450,1985-1990,438,658,560,417,238,96,25
189,Estimates,Madagascar,c,450,1990-1995,511,749,637,466,291,117,26
190,Estimates,Madagascar,c,450,1995-2000,583,878,712,493,305,132,27
191,Estimates,Madagascar,c,450,2000-2005,650,926,775,517,307,133,27
192,Estimates,Madagascar,c,450,2005-2010,712,1002,826,561,319,131,26
193,Estimates,Malawi,c,454,1950-1955,106,177,171,118,91,34,22
194,Estimates,Malawi,c,454,1955-1960,121,199,192,128,102,42,24
195,Estimates,Malawi,c,454,1960-1965,147,229,220,146,113,49,31
196,Estimates,Malawi,c,454,1965-1970,169,282,255,168,130,54,36
197,Estimates,Malawi,c,454,1970-1975,198,353,315,211,149,61,23
198,Estimates,Malawi,c,454,1975-1980,250,426,369,285,177,72,8
199,Estimates,Malawi,c,454,1980-1985,359,469,375,292,183,92,48
200,Estimates,Malawi,c,454,1985-1990,320,570,486,365,255,127,56
201,Estimates,Malawi,c,454,1990-1995,418,632,503,382,233,120,50
202,Estimates,Malawi,c,454,1995-2000,472,757,544,353,226,107,46
203,Estimates,Malawi,c,454,2000-2005,501,797,596,358,222,111,47
204,Estimates,Malawi,c,454,2005-2010,602,854,639,435,247,105,39
205,Estimates,Mauritius,c,480,1950-1955,21,37,26,17,10,3,1
206,Estimates,Mauritius,c,480,1955-1960,24,43,29,20,12,4,1
207,Estimates,Mauritius,c,480,1960-1965,20,48,38,27,15,5,0
208,Estimates,Mauritius,c,480,1965-1970,15,41,35,22,13,4,1
209,Estimates,Mauritius,c,480,1970-1975,13,37,32,19,10,3,0
210,Estimates,Mauritius,c,480,1975-1980,19,40,34,19,9,3,0
211,Estimates,Mauritius,c,480,1980-1985,12,34,29,17,7,2,0
212,Estimates,Mauritius,c,480,1985-1990,13,39,32,16,7,2,0
213,Estimates,Mauritius,c,480,1990-1995,11,39,33,19,7,2,0
214,Estimates,Mauritius,c,480,1995-2000,9,35,31,18,8,2,0
215,Estimates,Mauritius,c,480,2000-2005,9,30,29,17,8,2,0
216,Estimates,Mauritius,c,480,2005-2010,8,21,24,15,6,2,0
217,Estimates,Mayotte,c,175,1950-1955,1,1,1,1,0,0,0
218,Estimates,Mayotte,c,175,1955-1960,1,1,1,1,0,0,0
219,Estimates,Mayotte,c,175,1960-1965,1,2,1,1,1,0,0
220,Estimates,Mayotte,c,175,1965-1970,1,2,2,1,1,0,0
221,Estimates,Mayotte,c,175,1970-1975,2,3,2,1,1,0,0
222,Estimates,Mayotte,c,175,1975-1980,2,4,3,2,1,0,0
223,Estimates,Mayotte,c,175,1980-1985,2,3,3,2,2,1,0
224,Estimates,Mayotte,c,175,1985-1990,2,4,4,3,2,1,0
225,Estimates,Mayotte,c,175,1990-1995,2,5,5,4,2,1,0
226,Estimates,Mayotte,c,175,1995-2000,3,6,6,4,2,1,0
227,Estimates,Mayotte,c,175,2000-2005,5,8,7,5,3,1,0
228,Estimates,Mayotte,c,175,2005-2010,5,8,8,6,4,1,0
229,Estimates,Mozambique,c,508,1950-1955,219,436,407,299,191,79,24
230,Estimates,Mozambique,c,508,1955-1960,239,473,441,323,207,86,26
231,Estimates,Mozambique,c,508,1960-1965,260,518,481,352,226,94,28
232,Estimates,Mozambique,c,508,1965-1970,287,567,529,386,247,103,31
233,Estimates,Mozambique,c,508,1970-1975,323,625,579,425,272,113,34
234,Estimates,Mozambique,c,508,1975-1980,369,713,649,475,303,125,38
235,Estimates,Mozambique,c,508,1980-1985,408,778,698,508,332,145,53
236,Estimates,Mozambique,c,508,1985-1990,436,772,659,488,333,164,79
237,Estimates,Mozambique,c,508,1990-1995,472,861,708,521,357,186,106
238,Estimates,Mozambique,c,508,1995-2000,547,975,836,608,407,212,128
239,Estimates,Mozambique,c,508,2000-2005,946,1188,993,658,378,160,80
240,Estimates,Mozambique,c,508,2005-2010,956,1345,1105,708,399,161,79
241,Estimates,Runion,c,638,1950-1955,4,16,19,14,10,4,0
242,Estimates,Runion,c,638,1955-1960,5,18,18,15,10,4,0
243,Estimates,Runion,c,638,1960-1965,6,20,21,16,11,5,0
244,Estimates,Runion,c,638,1965-1970,7,21,19,16,10,4,0
245,Estimates,Runion,c,638,1970-1975,9,21,14,10,7,3,0
246,Estimates,Runion,c,638,1975-1980,8,20,14,8,5,2,0
247,Estimates,Runion,c,638,1980-1985,10,21,17,9,4,1,0
248,Estimates,Runion,c,638,1985-1990,8,21,22,13,5,2,0
249,Estimates,Runion,c,638,1990-1995,8,20,22,14,6,1,0
250,Estimates,Runion,c,638,1995-2000,4,16,20,18,10,3,0
251,Estimates,Runion,c,638,2000-2005,6,16,21,19,10,3,0
252,Estimates,Runion,c,638,2005-2010,8,18,21,16,9,3,0
253,Estimates,Rwanda,c,646,1950-1955,43,171,164,116,78,43,18
254,Estimates,Rwanda,c,646,1955-1960,46,179,195,152,94,46,21
255,Estimates,Rwanda,c,646,1960-1965,55,175,190,171,117,52,21
256,Estimates,Rwanda,c,646,1965-1970,71,214,187,167,132,66,24
257,Estimates,Rwanda,c,646,1970-1975,87,291,243,172,134,77,32
258,Estimates,Rwanda,c,646,1975-1980,100,359,330,224,139,79,37
259,Estimates,Rwanda,c,646,1980-1985,110,399,396,297,176,79,37
260,Estimates,Rwanda,c,646,1985-1990,123,437,434,349,219,96,30
261,Estimates,Rwanda,c,646,1990-1995,110,383,356,286,187,90,22
262,Estimates,Rwanda,c,646,1995-2000,125,432,373,276,190,98,22
263,Estimates,Rwanda,c,646,2000-2005,124,507,457,313,210,104,20
264,Estimates,Rwanda,c,646,2005-2010,119,550,573,366,203,101,19
265,Estimates,Seychelles,c,690,1950-1955,1,2,2,1,1,0,0
266,Estimates,Seychelles,c,690,1955-1960,1,2,2,1,1,0,0
267,Estimates,Seychelles,c,690,1960-1965,1,2,2,1,1,0,0
268,Estimates,Seychelles,c,690,1965-1970,2,3,2,2,1,0,0
269,Estimates,Seychelles,c,690,1970-1975,2,3,2,1,1,0,0
270,Estimates,Seychelles,c,690,1975-1980,2,3,2,1,1,0,0
271,Estimates,Seychelles,c,690,1980-1985,2,3,2,1,1,0,0
272,Estimates,Seychelles,c,690,1985-1990,1,3,2,1,1,0,0
273,Estimates,Seychelles,c,690,1990-1995,1,2,2,1,1,0,0
274,Estimates,Seychelles,c,690,1995-2000,1,2,2,1,1,0,0
275,Estimates,Seychelles,c,690,2000-2005,1,2,2,2,1,0,0
276,Estimates,Seychelles,c,690,2005-2010,1,2,2,2,1,0,0
277,Estimates,Somalia,c,706,1950-1955,32,124,143,116,94,44,27
278,Estimates,Somalia,c,706,1955-1960,36,139,153,124,101,48,29
279,Estimates,Somalia,c,706,1960-1965,39,155,172,132,108,51,32
280,Estimates,Somalia,c,706,1965-1970,46,171,192,150,117,55,34
281,Estimates,Somalia,c,706,1970-1975,51,194,209,164,130,59,36
282,Estimates,Somalia,c,706,1975-1980,68,263,289,218,173,79,47
283,Estimates,Somalia,c,706,1980-1985,84,323,356,273,210,97,58
284,Estimates,Somalia,c,706,1985-1990,121,342,358,281,211,102,57
285,Estimates,Somalia,c,706,1990-1995,162,364,365,288,210,113,57
286,Estimates,Somalia,c,706,1995-2000,217,399,383,307,213,126,61
287,Estimates,Somalia,c,706,2000-2005,253,462,411,320,228,137,67
288,Estimates,Somalia,c,706,2005-2010,297,550,497,345,231,116,55
289,Estimates,South Sudan,c,728,1950-1955,98,190,153,94,61,25,13
290,Estimates,South Sudan,c,728,1955-1960,109,214,174,106,67,27,15
291,Estimates,South Sudan,c,728,1960-1965,119,238,197,121,76,30,17
292,Estimates,South Sudan,c,728,1965-1970,123,262,222,138,89,35,19
293,Estimates,South Sudan,c,728,1970-1975,136,272,244,156,102,41,22
294,Estimates,South Sudan,c,728,1975-1980,161,295,251,175,115,51,27
295,Estimates,South Sudan,c,728,1980-1985,186,343,272,183,127,61,33
296,Estimates,South Sudan,c,728,1985-1990,207,385,313,201,129,70,38
297,Estimates,South Sudan,c,728,1990-1995,197,369,308,206,121,66,38
298,Estimates,South Sudan,c,728,1995-2000,195,364,313,219,130,69,37
299,Estimates,South Sudan,c,728,2000-2005,225,400,348,255,153,87,43
300,Estimates,South Sudan,c,728,2005-2010,230,467,438,298,163,90,43
301,Estimates,Uganda,c,800,1950-1955,242,392,327,232,154,54,17
302,Estimates,Uganda,c,800,1955-1960,268,411,373,270,182,63,19
303,Estimates,Uganda,c,800,1960-1965,331,464,398,315,217,76,23
304,Estimates,Uganda,c,800,1965-1970,407,573,451,336,253,90,28
305,Estimates,Uganda,c,800,1970-1975,480,682,539,369,263,102,32
306,Estimates,Uganda,c,800,1975-1980,552,799,638,439,286,105,36
307,Estimates,Uganda,c,800,1980-1985,648,928,754,524,344,116,38
308,Estimates,Uganda,c,800,1985-1990,784,1109,889,623,403,141,42
309,Estimates,Uganda,c,800,1990-1995,1015,1341,1067,710,415,168,50
310,Estimates,Uganda,c,800,1995-2000,1149,1626,1196,821,463,170,61
311,Estimates,Uganda,c,800,2000-2005,1241,1965,1440,936,499,168,62
312,Estimates,Uganda,c,800,2005-2010,1292,2316,1743,1060,536,172,59
313,Estimates,United Republic of Tanzania,c,834,1950-1955,336,560,451,324,206,103,29
314,Estimates,United Republic of Tanzania,c,834,1955-1960,389,646,521,374,238,119,34
315,Estimates,United Republic of Tanzania,c,834,1960-1965,453,743,597,430,273,138,39
316,Estimates,United Republic of Tanzania,c,834,1965-1970,516,865,688,494,315,159,45
317,Estimates,United Republic of Tanzania,c,834,1970-1975,592,985,802,570,362,183,52
318,Estimates,United Republic of Tanzania,c,834,1975-1980,699,1135,916,666,419,211,60
319,Estimates,United Republic of Tanzania,c,834,1980-1985,801,1305,1029,742,478,239,68
320,Estimates,United Republic of Tanzania,c,834,1985-1990,918,1496,1181,831,532,272,77
321,Estimates,United Republic of Tanzania,c,834,1990-1995,1042,1714,1339,938,581,288,81
322,Estimates,United Republic of Tanzania,c,834,1995-2000,1165,1982,1515,1041,624,285,70
323,Estimates,United Republic of Tanzania,c,834,2000-2005,1315,2319,1770,1192,672,283,57
324,Estimates,United Republic of Tanzania,c,834,2005-2010,1461,2664,2131,1397,734,281,53
325,Estimates,Zambia,c,894,1950-1955,62,151,142,110,76,36,14
326,Estimates,Zambia,c,894,1955-1960,71,174,164,129,89,42,16
327,Estimates,Zambia,c,894,1960-1965,86,204,192,151,106,50,19
328,Estimates,Zambia,c,894,1965-1970,102,246,226,177,125,60,23
329,Estimates,Zambia,c,894,1970-1975,118,284,266,204,143,69,26
330,Estimates,Zambia,c,894,1975-1980,141,328,306,239,164,78,30
331,Estimates,Zambia,c,894,1980-1985,162,373,334,260,182,85,32
332,Estimates,Zambia,c,894,1985-1990,187,435,385,285,197,94,35
333,Estimates,Zambia,c,894,1990-1995,274,526,435,303,190,83,29
334,Estimates,Zambia,c,894,1995-2000,379,650,510,336,190,70,22
335,Estimates,Zambia,c,894,2000-2005,463,706,563,379,214,76,20
336,Estimates,Zambia,c,894,2005-2010,463,749,621,461,271,91,22
337,Estimates,Zimbabwe,c,716,1950-1955,117,190,158,125,77,41,11
338,Estimates,Zimbabwe,c,716,1955-1960,139,217,185,142,89,50,13
339,Estimates,Zimbabwe,c,716,1960-1965,162,262,215,169,103,59,16
340,Estimates,Zimbabwe,c,716,1965-1970,204,295,251,190,119,66,19
341,Estimates,Zimbabwe,c,716,1970-1975,262,367,278,219,132,75,21
342,Estimates,Zimbabwe,c,716,1975-1980,310,464,339,237,148,82,23
343,Estimates,Zimbabwe,c,716,1980-1985,279,539,441,291,165,75,24
344,Estimates,Zimbabwe,c,716,1985-1990,283,553,462,331,182,73,24
345,Estimates,Zimbabwe,c,716,1990-1995,351,570,437,316,192,68,17
346,Estimates,Zimbabwe,c,716,1995-2000,411,626,432,266,167,61,18
347,Estimates,Zimbabwe,c,716,2000-2005,327,718,487,263,139,62,18
